"A","B","C"
-5.5963740349,3.4095647335,1.9149360657
-5.1032471657,2.1883456707,2.0934193134
-4.2534685135,1.2440611124,1.7399557829
-3.3478872776,0.837397635,0.7678862214
-2.7597854137,0.8811981678,-0.4885058701
-2.2565703392,1.5069849491,-1.4630630016
-1.5691363811,2.4477353096,-1.4199563265
-1.0113844872,3.1904559135,-0.5605573654
-0.6595704556,3.9227931499,0.4074340761
-0.4144794643,4.9529237747,0.887642324
-0.2942318916,5.9074721336,0.1316459626
-0.8792738914,6.6421003342,-0.9359327555
-2.036298275,7.1458902359,-1.575802803
-3.4300413132,6.9471411705,-1.6689651012
-4.6603446007,6.2341470718,-1.3854686022
-5.8255267143,5.2940130234,-1.1444761753
-6.9115386009,4.1358714104,-0.8866122365
-7.719335556,2.6563775539,-0.55032897
-8.0550985336,0.8765870929,-0.2137176692
-7.8621201515,-1.0398364067,0.0609423853
-7.1134467125,-2.878793478,0.2946726084
-5.813990593,-4.4471993446,0.4917889237
-4.0386257172,-5.5601358414,0.4835566878
-2.1356444359,-6.3306488991,0.0074884999
-0.186364308,-6.8747382164,-0.521641016
1.9148541689,-7.0934276581,-0.6598541737
3.8566725254,-6.6634907722,-0.5430469513
5.53166008,-5.7421269417,-0.5038706064
6.8036327362,-4.4711742401,-0.6054372787
7.6325745583,-3.0186531544,-0.8598073125
7.8357057571,-1.5138071775,-1.135995388
7.332473278,-0.1357992589,-1.0260971785
6.337372303,0.6353158355,-0.2587112784
5.3633189201,0.4390423596,0.8493948579
4.560790062,-0.4404273927,1.5941545963
3.7511482239,-1.4428764582,1.8514726162
2.8033819199,-2.2674734592,2.0215320587
1.7064503431,-2.8538267612,2.315959692
0.4597873688,-3.198882103,2.3660399914
-0.8165050745,-3.2598972321,2.1410372257
-2.0682599545,-2.9636900425,2.0445268154
-3.2075171471,-2.3973090649,1.8510923386
-4.1175837517,-1.7278547287,1.2265565395
-4.7484955788,-1.0128303766,0.3062747121
-5.0817551613,-0.0500176549,-0.5561230779
-5.0657777786,1.1886143684,-0.9905198812
-4.6254329681,2.3792996407,-0.7003061771
-3.8724913597,3.0708503723,0.1722272038
-3.0027320385,3.1426098347,1.2496707439
-2.0260286331,2.5799798965,1.9096313715
-1.0734096766,1.8279299736,1.5628198385
-0.395875901,1.2875162363,0.5162571669
0.1031448692,0.7292583585,-0.6146053076
0.521648109,-0.0667542592,-1.4546917677
0.9666137099,-1.1236428022,-1.6298701763
1.2609626055,-2.2324650288,-1.3567274809
1.3635185957,-3.3748972416,-0.9594064355
1.3294804096,-4.4366431236,-0.2662708461
1.1862779856,-5.4884982109,0.6167228222
0.8794134855,-6.781981945,1.2390201092
0.3048533201,-8.1302652359,1.2856481075
-0.530531764,-9.2367153168,0.961810708
-1.6682811975,-9.9353551865,0.5318590999
-2.9818360806,-10,0.0982632414
-4.0685806274,-9.2786893845,-0.3581656814
-4.6714859009,-8.1249046326,-0.856898129
-4.7994499207,-6.8001499176,-1.3134335279
-4.5458269119,-5.4007978439,-1.5145174265
-3.9546954632,-4.1556177139,-1.4728286266
-3.1586079597,-3.1965172291,-1.4902660847
-2.2983951569,-2.3953971863,-1.1622713804
-1.566454649,-1.7782897949,-0.3673604131
-0.9013441205,-1.2687482834,0.6305861473
-0.1342235506,-0.7676661611,1.5557696819
0.7759689689,-0.0728044659,2.0450026989
1.6627480984,0.7346895337,2.1177997589
2.5693962574,1.505183816,2.1907556057
3.5280766487,2.2918219566,2.0723221302
4.2045683861,3.0889618397,1.3416216373
4.3408555984,3.7763915062,0.2469901443
3.9668972492,4.3513622284,-0.8508098722
3.0944540501,4.777200222,-1.6353850365
1.9196015596,4.9175901413,-1.913112998
0.760248363,4.8102545738,-2.1385147572
-0.4394421577,4.752345562,-2.3660399914
-1.6965304613,4.8443727493,-2.0940253735
-2.4795041084,5.0979647636,-0.9706262946
-2.6651546955,5.8256669044,0.263820231
-2.165674448,6.8387861252,0.9989371896
-1.12765944,7.727016449,0.8457149863
0.0865839943,8.2138547897,0.0937951729
1.4524888992,8.3305473328,-0.4451268017
2.9190003872,8.1709861755,-0.5482779145
4.3483729362,7.6579613686,-0.3621199727
5.6294455528,6.75182724,-0.0679809228
6.6970410347,5.574382782,0.2337117344
7.5014181137,4.2132277489,0.5466768146
7.9903588295,2.7545001507,0.8958992958
8.0550985336,1.2835249901,1.2224620581
7.6282334328,-0.1363275796,1.2737722397
6.6937260628,-1.1871302128,0.737609446
5.60993433,-1.4020137787,-0.3231411576
4.7340049744,-0.8177515268,-1.195355773
4.0361442566,0.1657446772,-1.5367896557
3.3496265411,1.1149711609,-1.5860304832
2.624311924,1.9375424385,-1.1836112738
2.0707485676,2.68212533,-0.3384285271
1.8619143963,3.5354180336,0.6469722986
1.9830940962,4.4492397308,1.5503071547
2.2043697834,5.5359969139,1.9873416424
2.1939661503,6.6970067024,1.8884191513
1.7821879387,7.9104471207,1.9398910999
0.9387415051,9.0553216934,1.9812939167
-0.2993478477,9.8253631592,1.7365646362
-1.7613902092,10,1.4220159054
-3.2103111744,9.6077699661,1.2554072142
-4.4473609924,8.7512054443,1.2762844563
-5.3137931824,7.5584220886,1.451366663
-5.7216935158,6.1822385788,1.6552815437
-5.7868452072,4.7637553215,1.7633038759
